公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,山东农业大学银校合作VR思政虚拟仿真实践教学项目中标公告,,,VR思政虚拟仿真实践教学项目,0.0,中国建设银行股份有限公司泰安分行,"国有企业,银行",,北京中兴恒工程咨询有限公司,,"山东达芬奇电子科技有限公司
山东钜豪机电设备有限公司
山东一云数据科技有限公司",,"922800.0
0.0
0.0",2022-08-17,山东,泰安,,,,https://www.zhiliaobiaoxun.com/content/353210139/b2
中标,中标结果,泰山职业技术学院工业互联网、测量实训室设备采购项目第1标包中标（成交）公告,,SDGP370900000202202000185,"工业互联网虚拟仿真实训台,工业互联网测量实训室设备",1119000.0,泰山职业技术学院,学校,采购人-0538-8628144,泰安市山水建设工程咨询有限公司,代理联系人-0538-8281000,山东星科智能科技股份有限公司,,1119000.0,2022-08-15,山东,泰安,,,,https://www.zhiliaobiaoxun.com/content/352660604/b2
中标,中标结果,济南职业学院飞机虚拟仿真教室升级改造项目竞争性磋商成交公告,,JNVC-2022-0035,飞机虚拟仿真教室升级改造项目,127500.0,济南职业学院,学校,,,,国泰云天（山东）智能科技有限公司,,127500.0,2022-08-12,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/351546266/b2
中标,合同,【山东省本级】山东水利职业学院山东水利职业学院装配式钢结构虚拟仿真实训项目合同公开,,SDGP370000000202202005930,"装配式钢结构虚拟仿真实训项目,行业应用软件",450000.0,山东水利职业学院,学校,采购人-0633-7983960,,,山东新之筑信息科技有限公司,中标人-18615520863,450000.0,2022-08-12,山东,日照,,,,https://www.zhiliaobiaoxun.com/content/351491905/b2
中标,合同,【山东省本级】山东科技大学山东科技大学马克思主义学院虚拟仿真课程视频录制合同公开,,SDGP370000000202202004466,"虚拟仿真课程视频录制,音像制作服务",49000.0,山东科技大学,学校,采购人-86057157,,,济南爆点影视传媒有限公司,中标人-13705408784,49000.0,2022-08-12,山东,青岛,,,,https://www.zhiliaobiaoxun.com/content/351564538/b2
中标,中标结果,济南工程职业技术学院虚拟仿真实验教学中心（一期）项目,,SDGP370100000202202000905,"虚拟仿真实验教学中心一期项目,专业虚拟仿真实训室建设",990000.0,济南工程职业技术学院,学校,采购人-13791136595,山东润知项目管理有限公司,"赵**-0531-88286260,代理联系人-15614656605",济南科明数码技术股份有限公司,,990000.0,2022-08-11,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/351302497/b2
中标,中标结果,济南工程职业技术学院虚拟仿真实验教学中心（一期）项目,,SDGP370100000202202000905,"虚拟仿真实验教学中心一期项目,装配式建筑一站式体验馆升级改造",991000.0,济南工程职业技术学院,学校,采购人-13791136595,山东润知项目管理有限公司,"赵**-0531-88286260,代理联系人-15614656605",山东百库教育科技有限公司,,991000.0,2022-08-11,山东,济南,,,,https://www.zhiliaobiaoxun.com/content/351307692/b2
中标,中标结果,潍坊护理职业学院技能虚拟训练系统及设备采购项目（标段三：基础护理虚拟仿真系统）成交结果公告,,SDGP370700000202202000376,"基础护理虚拟仿真系统,技能虚拟训练系统及设备",99800.0,潍坊护理职业学院,学校,张**-0536-3887239,山东信一项目管理有限公司,夏**-0536-8219070,上海砺熠智能科技有限公司,,99800.0,2022-08-11,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/351298785/b2
中标,中标结果,潍坊护理职业学院技能虚拟训练系统及设备采购项目（标段四：基础护理虚拟仿真系统（设备））成交结果公告,,SDGP370700000202202000376,"基础护理虚拟仿真系统,技能虚拟训练系统及设备",399500.0,潍坊护理职业学院,学校,张**-0536-3887239,山东信一项目管理有限公司,夏**-0536-8219070,青州市科林商贸有限公司,,399500.0,2022-08-11,山东,潍坊,,,,https://www.zhiliaobiaoxun.com/content/351298778/b2
中标,合同,【山东省本级】山东工商学院跨境电商实训平台、培训开发软件、AR虚拟仿真及继续教育网络教学资源合同公开,,SDGP370000000202202003695,"AR虚拟仿真,跨境电商实训平台,行业应用软件,继续教育网络教学资源,培训开发软件",78000.0,山东工商学院,学校,,,,山东永耕达信息科技有限公司,中标人-15066697392,78000.0,2022-08-11,山东,烟台,,,,https://www.zhiliaobiaoxun.com/content/351205131/b2
