公告类型,公告子类型,公告标题,公告内容,项目编号,产品,招标预算金额（元）,招标公司,招标公司类型,招标联系人,招标代理机构,代理机构联系人,中标公司,中标联系人,中标金额（元）,发布时间,省份,城市,招标状态,标书获取截止日期,投标截止日期,链接
中标,中标结果,淮阴师范学院虚拟仿真实验软件项目成交公告,,HNU2022057,虚拟仿真实验软件项目,440000.0,淮阴师范学院,学校,"杨**-18252354001,杨**-0517-83525709",江苏伟业项目管理有限公司,查*-15298668381,北京微瑞集智科技有限公司,,440000.0,2022-08-30,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/356574547/b2
中标,中标结果,徐州工业职业技术学院虚拟仿真商务英语实训室系统采购项目公开招标中标结果公告,,XZCIT2022SXS01-3,虚拟仿真商务英语实训室系统,384000.0,徐州工业职业技术学院,学校,采购人-0516-85782688,徐州信同达招标代理有限公司,"张*-18751622102,代理联系人-0516-85765551",厦门亿学软件有限公司,,384000.0,2022-08-30,江苏,徐州,,,,https://www.zhiliaobiaoxun.com/content/356596199/b2
中标,中标结果,常州机电职业技术学院国家职业教育虚拟仿真实训基地建设项目（一期）项目中标（成交）公告,,ZYJS-ZJ2022008,"虚拟仿真实训基地建设项目,桌面式虚拟现实一体机",1146000.0,常州机电职业技术学院,学校,采购人-0519-86331299,常州中宇建设工程管理有限公司,"代理联系人-0519-85782055,代理联系人-0519-85785155",上海曼恒数字技术股份有限公司,,1146000.0,2022-08-30,江苏,常州,,,,https://www.zhiliaobiaoxun.com/content/356729538/b2
中标,中标结果,苏州工业园区工业技术学校关于虚拟仿真实训平台项目的成交公告,,LHZX2022-Y-T-002-001,"虚拟仿真实训平台项目,实训软件,虚拟仿真资源平台服务端,虚拟仿真资源平台WEB端,虚拟仿真资源平台PC端",498000.0,苏州工业园区工业技术学校,学校,祝**-0512-62932209,苏州乐慧招投标咨询有限公司,鲍**-0512-69223600,安徽灵敏信息技术有限公司,,498000.0,2022-08-25,江苏,苏州,,,,https://www.zhiliaobiaoxun.com/content/355333006/b2
中标,中标结果,南京晓庄学院陶行知教育思想虚拟仿真课程建设项目成交公告,,JSHC-2022070532B3,思想虚拟仿真课程建设项目,198600.0,南京晓庄学院,学校,费**-025-86178437,江苏省华采招标有限公司,代理联系人-025-83609978,南京先极科技有限公司,,198600.0,2022-08-25,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/355198374/b2
中标,中标结果,徐州工程学院“绿色建筑技术服务产业链工程实训中心”-数字化建筑虚拟仿真实训教学资源项目中标结果公告[项目编号：JSZC-320300-HWZX-G2022-0177],,JSZC-320300-HWZX-G2022-0177,数字化建筑虚拟仿真实训教学资源项目,935700.0,徐州工程学院,学校,李*-0516-83200231,江苏海外集团国际工程咨询有限公司,"孙*-0516-83999055,代理联系人-0516-85699499",江苏博子岛智能产业技术研究院有限公司,,935700.0,2022-08-25,江苏,徐州,,,,https://www.zhiliaobiaoxun.com/content/355317431/b2
中标,中标结果,江苏航运职业技术学院港航与建筑施工虚拟仿真实训室建设项目中标公示,,Z320693220032（ZB011）,虚拟仿真实训室建设项目,948000.0,江苏航运职业技术学院,学校,"高**-0513-85960975,谢**-13914370604",,,国泰新点软件股份有限公司,,948000.0,2022-08-24,江苏,南通,,,,https://www.zhiliaobiaoxun.com/content/354991324/b2
中标,中标结果,江苏电子信息职业学院纯电动汽车动力系统拆装虚拟仿真实训系统采购项目中标公告,,JSEIZB2022-065,"纯电动汽车动力系统拆装虚拟仿真实训系统,变速器虚拟结构拆装实训系统",258800.0,江苏电子信息职业学院,学校,"罗*-0517-83808168,费**-18305232741",江苏建昊工程咨询有限公司,乔*-13151885223,南京德利联信息科技有限公司,,258800.0,2022-08-24,江苏,淮安,,,,https://www.zhiliaobiaoxun.com/content/354903327/b2
中标,中标结果,苏州建设交通高等职业技术学校关于智能网联汽车技术平台设备采购单一来源成交公告(SZSCY2022-D-003),,SZSCY202 2-D-00 3,"智能网联汽车虚拟仿真测试平台,交通标识,组套工具,套件,移动目标,交通信号灯,测试仪表车,智能网联汽车技术平台设备",727700.0,苏州建设交通高等职业技术学校,学校,陶**-0512-66503335,苏州市诚源招投标代理有限公司,许**-0512-69228578,上海英齐汽车设备有限公司,,727700.0,2022-08-19,江苏,苏州,,,,https://www.zhiliaobiaoxun.com/content/353684897/b2
中标,中标结果,南京邮电大学经济学院 虚拟仿真项目开发采购项目中标公告,,JSZB-2022-12525,虚拟仿真项目开发,216500.0,南京邮电大学,学校,采购人-025-85866541,江苏中博通信有限公司,"王**-15895877258,宋*-15951989169",江苏一鼎堂软件科技有限公司,,216500.0,2022-08-18,江苏,南京,,,,https://www.zhiliaobiaoxun.com/content/353461661/b2
中标,中标结果,无锡东盛工程管理咨询有限公司关于5G基站建设与维护虚拟仿真实训系统的中标公告WXDSCG2022-13,,WXDSCG2022-13,5G基站建设与维护虚拟仿真实训系统,772000.0,无锡科技职业学院,学校,采购人-0510-85342095,无锡东盛工程管理咨询有限公司,"周**-13093086352,虞**-0510-82138333",南京中兴信雅达信息科技有限公司,,772000.0,2022-08-18,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/353422276/b2
中标,中标结果,集成电路人工智能虚拟仿真中心基建改造项目中标（成交公告）,,,集成电路人工智能虚拟仿真中心基建改造项目,158000.0,江苏信息职业技术学院招投标中心,政府及事业单位,王**-0510-83292523,普信国际工程咨询有限公司,代理联系人-13771172807,江苏海筑建设集团有限公司,,158000.0,2022-08-17,江苏,无锡,,,,https://www.zhiliaobiaoxun.com/content/352941352/b2
